,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
88,CSS160428,150,0.03148,0.00087,0.03081,0.00015,0.03029,0.00015,16.4487,0.162055,35.7017,0.164289,-9.0,0,1,-0.057822,0.032365,0.8256,0.14949,16.1861,0.0364702,0.00601971,0.000202204,-0.000185429,-1.49e-06,-5.65e-06,200.78,52.6491,200.780258,52.649481,1.4828383946979957,-196.002,250,0.00952833,10.078,0.1,57517.6,0.2586,10,20.184,0.0275592,0.076,0.0609,-0.0144,0.001,1.0,0.003
89,ASASSN-16oz,150,0.03192,0.00218,0.03207,0.002,0.031,0.002,16.2062,0.274741,35.4592,0.276064,-9.0,0,1,-0.039578,0.036562,1.49117,0.18574,15.9323,0.0501589,0.00760498,0.000351335,0.000772264,-1.5e-05,-1e-05,135.056,-13.634,135.054958,-13.634306,3.808299725611462,42.8736,250,0.0468263,8.01111,0.008,57749.9,0.2813,7,5.28065,0.62576,0.0844,0.1506,0.016,0.001,1.0,0.006
90,AT2017po,150,0.03255,0.00086,0.03201,1e-05,0.03183,1e-05,16.323,0.194953,35.576,0.196814,-9.0,0,1,-0.0745,0.036728,0.21503,0.2454,16.1447,0.0462986,0.00625354,0.000266667,-0.000222569,-4.06e-06,-6.9e-06,240.965,39.9901,240.967306,39.984443,21.33537789529032,-156.239,250,0.0119043,8.98827,0.082,57784.3,0.0472,6,18.9048,0.00849089,0.0968,0.0583,0.0314,0.001,1.0,0.005
91,ASASSN-15pr,150,0.03264,0.00087,0.03189,0.00015,0.03309,0.00015,16.6552,0.19632,35.9082,0.198168,-9.0,0,1,-0.055939,0.044616,-0.669639,0.2244,16.6543,0.0661809,0.00391077,0.00023838,-0.0049346,3.22e-05,-1.01e-05,346.664,-12.5728,346.665058,-12.573119,3.8908030823767774,-217.887,250,0.0294079,9.55707,0.002,57282.9,0.837,8,12.6701,0.17811,0.0952,0.0588,0.0209,0.001,1.0,0.006
92,SN2016hpx,150,0.03282,0.00098,0.0337,0.00046,0.03338,0.00046,16.3799,0.202232,35.6329,0.204026,-9.0,0,1,-0.028927,0.037089,0.83599,0.1692,16.2306,0.0476938,0.00577786,0.000253808,0.000675607,-1.48e-05,-8.03e-06,90.8194,-26.8986,90.818333,-26.898611,3.4258439582333446,254.849,250,0.0245107,9.09468,0.013,57703.9,0.2153,5,15.2925,0.00918294,0.0832,0.0659,0.0111,0.001,1.0,0.008
93,SN2017cii,150,0.03289,0.00086,0.03337,1e-05,0.03323,1e-05,16.5851,0.176607,35.8381,0.178659,-9.0,0,1,-0.115009,0.036509,0.33544,0.15317,16.2878,0.0600732,0.00548104,0.000303263,-0.00124793,1.18e-05,-9.17e-06,248.333,23.7313,248.33317,23.732315,3.6966988493204584,138.77,250,0.0579897,8.8988,0.002,57837.4,0.5833,8,14.0151,0.0813729,0.078,0.0577,0.0555,0.001,1.0,0.004
94,ASASSN-16bc,150,0.03298,0.00087,0.03314,0.00015,0.03194,0.00015,16.3634,0.165831,35.6164,0.168015,-9.0,0,0,-0.159366,0.033395,0.5932,0.12076,15.9166,0.0472603,0.00771546,0.000335841,-0.000293786,-4.71e-06,-8.86e-06,181.357,-21.4004,181.353742,-21.399209,11.731746798881968,45.2689,250,0.0477731,10.3011,0.002,57430.1,0.1267,10,50.2166,2.44e-07,0.0773,0.0582,0.0811,0.002,1.0,0.002
95,PS15bsq,150,0.03371,0.00086,0.03309,2e-05,0.0343,2e-05,16.5267,0.1574,35.7797,0.159699,-9.0,0,1,-0.069085,0.033475,0.51225,0.13182,16.2831,0.0419123,0.00550476,0.000212498,0.000102345,-5.6e-06,-5.88e-06,355.467,-8.6379,355.469247,-8.648099,37.577273076469545,-179.377,250,0.029599,10.9397,0.013,57262.9,0.1232,8,8.30139,0.4046,0.0769,0.0563,-0.0068,0.001,1.0,0.002
96,ASASSN-16dw,150,0.03437,0.00088,0.03565,0.00015,0.03466,0.00015,16.5307,0.215389,35.7837,0.217075,-9.0,0,1,0.054822,0.034758,-0.229019,0.14442,16.7191,0.0487269,0.0036843,0.000165348,-0.000513015,1.29e-06,-4.66e-06,202.503,-27.9739,202.505,-27.97492,7.342823815089647,371.74,250,0.0456106,10.1423,0.001,57482.8,0.3596,12,19.2588,0.0824708,0.079,0.0565,-0.0673,0.001,1.0,0.011
97,ATLAS17ajs,150,0.03451,0.00086,0.0337,1e-05,0.03265,1e-05,16.7227,0.357064,35.9757,0.358083,-9.0,0,0,0.17557,0.03821,1.82151,0.3865,17.0898,0.0468874,0.00261858,0.000113083,-0.00298806,1.29e-05,-3.59e-06,171.977,27.3458,171.98019,27.34702,11.105949781614713,-232.655,250,0.0154495,9.50928,0.012,57781.5,1.0093,6,5.50653,0.48067,0.1065,0.055,0.0406,0.016,1.0,0.044
98,ASASSN-15jl,150,0.03512,0.00086,0.03492,1e-05,0.03468,1e-05,16.6286,0.167159,35.8816,0.169326,-9.0,0,1,-0.085933,0.031868,0.22915,0.15282,16.4189,0.0361909,0.00485786,0.000161927,-0.000305211,1.47e-08,-4.46e-06,230.671,50.9766,230.67151,50.97668,1.1913463357112868,-56.2292,250,0.0137576,8.79586,0.142,57166.0,0.2799,10,23.4804,0.00910557,0.0751,0.0541,0.0374,0.001,1.0,0.005
99,ASASSN-15tg,150,0.03529,0.00086,0.03445,6e-05,0.03561,6e-05,16.608,0.166424,35.861,0.1686,-9.0,0,1,-0.052529,0.034323,1.54158,0.2321,16.2518,0.040328,0.00566595,0.000210453,-0.000676349,-1.44e-06,-6.08e-06,5.171,25.229,5.173367,25.227957,8.57426799800189,-241.332,250,0.0247216,10.227,0.004,57361.4,0.451,7,15.6283,0.0287382,0.0869,0.0538,-0.0187,0.001,1.0,0.002
100,PTSS-16efw,150,0.03568,0.00086,0.03542,2e-05,0.03557,2e-05,16.981,0.186511,36.234,0.188455,-9.0,0,1,-0.125294,0.049018,-0.139619,0.15966,16.7345,0.12736,0.00363255,0.000426099,-0.00109002,5.78e-06,-1.7e-05,263.908,8.809,263.907803,8.810755,6.356751427547005,-76.0813,250,0.17693,9.96056,0.006,57509.6,0.7403,15,27.7843,0.0229589,0.0934,0.0533,0.0679,0.001,1.0,0.004
101,AT2016fbk,150,0.03576,0.00086,0.03495,1e-05,0.03587,1e-05,16.9015,0.22873,36.1545,0.230318,-9.0,0,0,0.086894,0.034901,-0.008242,0.13757,17.1389,0.0476671,0.00250296,0.000109887,-0.000178523,-2.04e-06,-3.11e-06,26.0272,34.3827,26.033841,34.387291,25.73781757328715,-233.258,250,0.0419285,10.7289,0.201,57625.2,0.1487,5,26.2989,7.81e-05,0.0801,0.0531,-0.0849,0.002,1.0,0.015
102,ASASSN-15mi,150,0.03585,0.00086,0.03501,0.0,0.03442,0.0,16.2985,0.202534,35.5515,0.204326,-9.0,0,1,-0.007576,0.032119,0.49532,0.1448,16.2652,0.0375196,0.00559656,0.000193399,-7.69e-05,-3.29e-06,-5.3e-06,210.815,41.6041,210.816174,41.603769,3.377485484446305,-241.958,250,0.018092,9.51083,0.297,57221.3,0.1801,8,49.0429,6.24e-08,0.0751,0.053,0.0108,0.001,1.0,0.01
103,ASASSN-15ss,150,0.03599,0.00087,0.03592,0.00012,0.03556,0.00012,16.7379,0.185228,35.9909,0.187185,-9.0,0,1,-0.120564,0.050478,0.79388,0.23176,16.3442,0.13425,0.00520366,0.000643411,0.000281829,-5.96e-06,-2.58e-05,93.1391,-14.2575,93.145013,-14.257758,20.652023209448952,-19.5249,250,0.19921,10.7564,0.104,57338.2,0.0534,8,10.8254,0.28787,0.1017,0.0534,0.0439,0.001,1.0,0.002
104,PS15bbn,150,0.03624,0.00087,0.03602,0.00012,0.0371,0.00012,16.9315,0.185288,36.1845,0.187245,-9.0,0,1,-0.047187,0.037277,1.50732,0.25123,16.6331,0.0620079,0.00398809,0.000227765,-0.00056526,3.08e-06,-6.51e-06,315.99,13.3684,,,,-64.0261,250,0.071218,7.94021,0.012,57213.9,0.5459,8,9.03538,0.33932,0.0884,0.0531,0.0175,0.001,1.0,0.005
105,ASASSN-15lu,150,0.03635,0.00086,0.03577,1e-05,0.03505,1e-05,16.7505,0.183273,36.0035,0.185251,-9.0,0,0,-0.041141,0.034646,-0.590345,0.23379,16.775,0.0407261,0.00349955,0.000131269,-0.00070698,3.22e-06,-3.9e-06,200.304,40.2657,200.303657,40.265765,0.9708442995499625,-168.232,250,0.0138128,9.65851,0.01,57199.4,0.3938,10,21.1199,0.020273,0.0848,0.0523,0.0122,0.001,1.0,0.006
106,ASASSN-16db,150,0.0373,0.00086,0.03589,1e-05,0.03486,1e-05,16.6168,0.187759,35.8698,0.18969,-9.0,0,1,0.016022,0.03646,-1.00742,0.15357,16.8165,0.0433864,0.00336814,0.000134592,-3.52e-05,-3.82e-06,-4.17e-06,167.357,29.5732,167.357504,29.56924,14.343075261669954,-408.932,250,0.0226062,10.678,0.013,57465.3,0.2439,13,24.5376,0.0265304,0.0848,0.051,-0.0508,0.001,1.0,0.006
107,AT2016hns,150,0.0374,0.00087,0.03704,6e-05,0.03817,6e-05,16.7259,0.16144,35.9789,0.163683,-9.0,0,1,-0.096867,0.035762,-1.00508,0.17591,16.6564,0.0545461,0.00390337,0.000196101,-0.000106342,-2.78e-06,-5.39e-06,324.921,24.4065,324.92207,24.405087,6.179006992136804,-105.312,250,0.0626788,10.4701,0.017,57697.5,0.2082,6,11.0277,0.0875225,0.0833,0.0514,0.0294,0.001,1.0,0.002
108,ASASSN-15bc,150,0.03753,0.00087,0.03639,0.0001,0.03672,0.0001,16.696,0.261217,35.949,0.262609,-9.0,0,1,0.056405,0.031777,0.56778,0.15933,16.8648,0.0426935,0.00322175,0.000126686,0.000228519,-3.07e-06,-3.31e-06,61.561,-8.8856,61.56162,-8.88644,3.742663856932747,-330.399,250,0.0374655,8.86694,0.011,57047.8,0.1656,10,4.13607,0.941,0.0724,0.0513,0.0257,0.002,1.0,0.022
109,AT2016cvw,150,0.03787,0.00087,0.03761,9e-05,0.03888,9e-05,16.7533,0.204884,36.0063,0.206656,-9.0,0,0,0.020595,0.043042,-1.83186,0.18447,17.0781,0.0664722,0.00264713,0.000162066,-0.000791206,-3.6e-07,-5.43e-06,341.553,10.5588,341.55171,10.55714,7.520322319634592,-75.0326,250,0.0679254,10.8943,0.001,57560.2,0.4345,12,15.1977,0.2308,0.0993,0.0508,-0.0616,0.001,1.0,0.007
110,SN2017ciy,150,0.03834,0.00136,0.03762,0.00105,0.03765,0.00105,17.2647,0.244319,36.5177,0.245806,-9.0,0,0,0.012273,0.038448,1.4631,0.2636,17.1524,0.0583619,0.00247202,0.000132879,-0.000601285,2.45e-06,-4.07e-06,256.029,25.0529,256.02804,25.055127,8.606831413033312,-206.067,250,0.05523,9.7066,0.001,57839.0,0.6148,4,18.7685,0.000872653,0.0908,0.0785,0.0132,0.002,1.0,0.013
111,ASASSN-15np,150,0.03884,0.00087,0.03832,5e-05,0.03768,5e-05,16.773,0.21784,36.026,0.219507,-9.0,0,1,0.05253,0.037158,-1.06429,0.23568,17.0748,0.0470874,0.00265511,0.00011515,-0.000348197,-8e-07,-3.13e-06,226.511,7.5615,226.511053,7.561634,0.518161239851828,-150.196,250,0.026422,10.1408,0.001,57241.7,0.0471,6,10.294,0.11281,0.0956,0.0496,-0.0701,0.001,1.0,0.01
112,ASASSN-15pn,150,0.03909,0.00087,0.038,0.0,0.03836,0.0,16.9432,0.219165,36.1962,0.220822,-9.0,0,0,0.001447,0.037809,0.38124,0.18136,16.9519,0.0653446,0.00297321,0.000178942,-0.000315106,-1.97e-06,-5.2e-06,60.8598,-5.492,60.85932,-5.491806,1.8564479607725366,-314.397,250,0.0810493,9.1308,0.096,57280.5,0.2904,10,12.898,0.22943,0.086,0.0493,0.0081,0.001,1.0,0.011
113,PS15cze,150,0.04035,0.00087,0.03891,2e-05,0.03937,2e-05,17.2956,0.233076,36.5486,0.234635,-9.0,0,1,0.030005,0.04777,-1.51168,0.24032,17.5972,0.12296,0.00164105,0.000185846,-0.000441142,-7.87e-07,-5.92e-06,56.8476,0.8772,56.847373,0.8755,6.174305443587088,-414.188,250,0.18478,10.4136,0.013,57364.3,0.1737,14,27.1304,0.0185153,0.1206,0.0477,-0.0666,0.001,1.0,0.007
114,SN2016glz,150,0.04077,0.00087,0.03975,7e-05,0.04099,7e-05,16.7388,0.208725,35.9918,0.210464,-9.0,0,0,-0.00329,0.036625,1.11871,0.26331,16.6259,0.0593439,0.00401467,0.000219433,0.000875018,-7.46e-06,-6.28e-06,1.4732,8.4302,1.473225,8.430166,0.15135651426335592,-294.353,250,0.0704579,9.40195,0.1,57664.5,0.3745,7,9.06196,0.24824,0.0845,0.0473,0.0099,0.001,1.0,0.011
115,PS16axi,150,0.04089,0.00087,0.04056,1e-05,0.0393,1e-05,16.8733,0.166662,36.1263,0.168835,-9.0,0,1,-0.028406,0.03884,-0.724985,0.18818,16.9177,0.0507428,0.00306839,0.000143404,-0.00163205,4.78e-06,-4.92e-06,162.03,0.1635,162.031168,0.167161,13.834089886216583,-93.2801,250,0.0338311,10.1805,0.001,57461.3,0.4706,14,23.7947,0.0485062,0.0895,0.0471,-0.0271,0.001,1.0,0.003
116,SN2017coa,150,0.04095,0.00312,0.04045,0.003,0.04,0.003,17.1574,0.305998,36.4104,0.307187,-9.0,0,0,-0.047302,0.038881,0.71195,0.31661,16.9721,0.0553568,0.00291836,0.000148794,-0.00064674,-8.53e-06,-4.44e-06,132.48,56.099,132.479948,56.09853,1.6952180370472638,-143.561,250,0.0556855,8.76499,0.03,57848.9,0.4776,5,8.14453,0.2277,0.105,0.1688,0.0137,0.001,1.0,0.005
117,AT2016htm,150,0.04289,0.00088,0.04265,0.00015,0.04332,0.00015,16.9488,0.160264,36.2018,0.162522,-9.0,0,1,-0.07832,0.032698,-0.466558,0.20121,16.8576,0.0374754,0.00324306,0.000111938,0.000703014,-4.59e-06,-3.15e-06,38.0109,-26.6659,38.005612,-26.665729,17.02316742003702,-67.4911,250,0.014586,9.40838,0.014,57702.6,0.1387,10,19.5976,0.033297,0.0762,0.0455,0.0298,0.001,1.0,0.005
118,ASASSN-16ct,150,0.04306,0.00087,0.04252,4e-05,0.04191,4e-05,16.9927,0.205288,36.2457,0.207056,-9.0,0,0,-0.001683,0.034256,1.47021,0.19608,16.8323,0.0476425,0.00331969,0.000145669,-0.00104702,1.99e-06,-4.02e-06,228.476,4.7573,228.476238,4.757202,0.923861610145324,-155.752,250,0.0456249,8.98925,0.053,57459.8,0.527,18,48.068,0.000147098,0.0835,0.0448,0.0093,0.002,1.0,0.011
119,SN2016ayg,150,0.04349,0.00088,0.04328,0.00012,0.04269,0.00012,17.1635,0.163855,36.4165,0.166064,-9.0,0,0,-0.128598,0.035377,-0.263111,0.16628,16.9244,0.0471253,0.00304954,0.000132362,0.000164948,-4.48e-06,-3.75e-06,112.572,25.0321,112.571929,25.031539,2.032834442150989,-60.5626,250,0.0420161,8.05522,0.099,57467.6,0.1487,7,19.715,0.00621943,0.0828,0.0449,0.0674,0.002,1.0,0.004
120,MASTERJ0134,150,0.04369,0.00087,0.04391,4e-05,0.04485,4e-05,17.0064,0.175714,36.2594,0.177777,-9.0,0,1,-0.070549,0.043894,0.40246,0.20036,16.8032,0.0648028,0.00340972,0.000203511,-0.000363909,2.06e-06,-7.79e-06,23.5627,-17.8121,23.5619,-17.81042,6.640530991333552,60.6481,250,0.0176115,9.19675,0.002,57665.8,0.6587,5,2.51605,0.86667,0.0911,0.0442,0.0219,0.001,1.0,0.005
121,ASASSN-15mg,150,0.04408,0.00087,0.04307,1e-05,0.04277,1e-05,17.0768,0.179185,36.3298,0.181208,-9.0,0,1,-0.044881,0.037229,-1.55653,0.1597,17.233,0.0435214,0.002295,9.2e-05,-0.000679711,-1.12e-06,-2.84e-06,233.094,41.8504,233.094236,41.849941,1.7694429631688395,-289.796,250,0.0278557,9.84386,0.029,57218.1,0.1421,12,9.16036,0.68918,0.0905,0.0438,0.013,0.002,1.0,0.005
122,AT2016cvv,150,0.04438,0.00096,0.04404,0.0004,0.04457,0.0004,17.2939,0.229619,36.5469,0.231201,-9.0,0,1,0.054703,0.043587,1.47222,0.33066,17.2196,0.0741287,0.00232353,0.000158639,-0.00449484,1.09e-05,-5.57e-06,290.12,54.2087,290.126313,54.211369,16.400357048047933,-97.4435,250,0.0886039,11.4594,0.034,57558.1,0.7166,9,24.2621,0.00390558,0.112,0.048,-0.0786,0.002,1.0,0.01
123,PS16cqa,150,0.04521,0.00087,0.04433,1e-05,0.04385,1e-05,17.4336,0.303723,36.6866,0.304921,-9.0,0,0,0.17268,0.058588,-2.74165,0.34485,18.2514,0.0784875,0.000898303,6.49e-05,-0.00205844,4.37e-06,-3.39e-06,234.779,9.2946,234.77881,9.29616,5.656422181954628,-252.758,250,0.0339602,10.6243,0.001,57545.2,0.7199,10,20.7844,0.0226481,0.1287,0.0427,-0.173,0.022,1.0,0.021
124,PSNJ1204051,150,0.04545,0.00087,0.04502,1e-05,0.04385,1e-05,17.2011,0.1944,36.4541,0.196266,-9.0,0,1,0.035848,0.036042,1.28783,0.2333,17.1026,0.0429148,0.00258792,0.00010229,-0.000430174,-1.79e-06,-3.05e-06,181.021,14.0681,181.022551,14.065552,10.652469182584179,-123.442,250,0.0270148,10.0939,0.002,57170.3,0.4117,8,14.7588,0.0640083,0.0904,0.0425,-0.0717,0.001,1.0,0.008
125,SN2016esh,150,0.04583,0.00087,0.04488,3e-05,0.04457,3e-05,16.9049,0.180751,36.1579,0.182756,-9.0,0,0,-0.11222,0.040234,-1.2223,0.27035,16.8475,0.0494449,0.00327349,0.000149076,0.00108353,-1.49e-05,-4.95e-06,241.06,16.6902,241.059862,16.690235,0.4922728244505554,-273.17,250,0.0306493,9.49048,0.007,57613.3,0.2299,7,13.8984,0.0530181,0.0992,0.0421,0.0569,0.002,1.0,0.004
126,PS17tn,150,0.0459,0.00087,0.04549,1e-05,0.0447,1e-05,17.1281,0.194137,36.3811,0.196005,-9.0,0,0,0.043621,0.035116,-0.608838,0.17911,17.3349,0.0393862,0.00208955,7.58e-05,-0.000131069,-2.15e-06,-2.24e-06,145.807,41.3173,145.80508,41.31628,6.358791549432175,-116.657,250,0.0145025,10.2394,0.001,57785.4,0.26,7,17.0329,0.0171853,0.0853,0.0421,-0.0703,0.001,1.0,0.008
127,AT2016ews,150,0.04631,0.00087,0.04612,1e-05,0.04555,1e-05,17.2864,0.156917,36.5394,0.159223,-9.0,0,0,-0.15924,0.036857,1.0445,0.22071,16.7729,0.0482526,0.00350616,0.000155822,0.00148121,-1.2e-05,-4.7e-06,225.652,23.3528,225.659133,23.350542,24.937488948164994,-54.4087,250,0.0380688,10.3881,0.005,57619.9,0.1981,6,12.1392,0.0589341,0.0845,0.0417,0.0806,0.002,1.0,0.001
128,AT2017yk,150,0.04691,0.00089,0.04764,0.00015,0.04644,0.00015,17.5052,0.279376,36.7582,0.280677,-9.0,0,1,0.15152,0.04244,-0.599325,0.5657,17.9803,0.0524477,0.00115316,5.57e-05,0.00524052,-1.23e-05,-1.99e-06,146.133,-12.3082,146.133918,-12.30656,6.729241744319641,207.291,250,0.0295285,10.0803,0.003,57788.7,0.4718,4,7.71655,0.10253,0.1183,0.0421,-0.1343,0.004,1.0,0.019
129,2016afk,150,0.04738,0.00087,0.04677,1e-05,0.0456,1e-05,17.3112,0.227553,36.5642,0.229149,-9.0,0,0,0.03245,0.037705,-0.290903,0.22075,17.5003,0.0534497,0.00179427,8.83e-05,0.00189554,-4.06e-06,-2.77e-06,155.625,15.0966,155.624638,15.096281,1.7035122009870818,-172.356,250,0.049836,9.44086,0.002,57440.7,0.3118,13,33.7728,0.00130294,0.0784,0.0408,-0.0066,0.003,1.0,0.016
130,PS16fa,150,0.0476,0.00087,0.04734,1e-05,0.04611,1e-05,17.3479,0.159417,36.6009,0.161688,-9.0,0,1,-0.002868,0.032797,-0.651798,0.11284,17.4422,0.0384533,0.00189294,6.7e-05,-0.000429945,4.25e-08,-1.86e-06,154.819,4.7617,154.823301,4.763066,16.194818035479138,-74.0873,250,0.0218181,10.2881,0.013,57400.3,0.2188,18,18.7882,0.40497,0.0763,0.0406,-0.0454,0.001,1.0,0.004
131,PS15aii,150,0.04777,0.00087,0.04768,1e-05,0.04655,1e-05,17.3416,0.142856,36.5946,0.145385,-9.0,0,1,-0.060972,0.033404,0.34871,0.14261,17.1377,0.0388066,0.00250558,8.96e-05,0.000214057,-2.28e-06,-2.52e-06,191.19,9.7597,191.19001,9.75731,8.604073231416363,-26.3507,250,0.022432,10.3823,0.012,57159.1,0.1757,9,8.88446,0.44801,0.0772,0.0405,-0.0163,0.001,1.0,0.002
132,PS17akj,150,0.04777,0.00087,0.0478,1e-05,0.04681,1e-05,17.3097,0.207053,36.5627,0.208806,-9.0,0,1,-0.060006,0.03815,1.35352,0.24805,16.9973,0.0505932,0.00285151,0.000132875,-0.000149382,-8.47e-06,-1.93e-06,207.455,-3.08,207.454459,-3.080145,2.0136252297620443,8.6079,250,0.0442696,8.85712,0.005,57798.8,0.2989,9,18.8331,0.0266502,0.1199,0.0405,0.0204,0.001,1.0,0.005
